Entity,Code,Year,Share of total deaths in both sexes in those aged all ages that are from digestive diseases,Share of total deaths in both sexes in those aged all ages that are from infectious and parasitic diseases,Share of total deaths in both sexes in those aged all ages that are from respiratory diseases,"Share of total deaths in both sexes in those aged all ages that are from diabetes mellitus, blood and endocrine disorders",Share of total deaths in both sexes in those aged all ages that are from intentional injuries,Share of total deaths in both sexes in those aged all ages that are from perinatal conditions,Share of total deaths in both sexes in those aged all ages that are from respiratory infections,Share of total deaths in both sexes in those aged all ages that are from neuropsychiatric conditions,Share of total deaths in both sexes in those aged all ages that are from malignant neoplasms,Share of total deaths in both sexes in those aged all ages that are from cardiovascular diseases,Share of total deaths in both sexes in those aged all ages that are from ill-defined injuries,Share of total deaths in both sexes in those aged all ages that are from musculoskeletal diseases,Share of total deaths in both sexes in those aged all ages that are from congenital anomalies,Share of total deaths in both sexes in those aged all ages that are from maternal conditions,Share of total deaths in both sexes in those aged all ages that are from nutritional deficiencies,Share of total deaths in both sexes in those aged all ages that are from other neoplasms,Share of total deaths in both sexes in those aged all ages that are from skin diseases,Share of total deaths in both sexes in those aged all ages that are from unintentional injuries
United States,USA,1950,3.2475383,4.183816,0.79878604,2.3091953,1.7299688,4.1990314,3.4063041,1.0896043,14.508756,51.297596,,0.26238352,1.2685428,0.20379303,0.35471004,0.36999452,0.02437254,6.282402
United States,USA,1951,3.2559903,3.8445475,0.8382706,2.4733841,1.5819457,4.2572055,3.4107034,1.0754342,14.541876,51.567474,,0.27933356,1.272857,0.18973093,0.34484875,0.3485597,0.02516701,6.4685965
United States,USA,1952,3.3060358,3.4874182,0.88706994,2.477556,1.5809994,4.252898,3.2624104,1.0727948,14.916577,51.850235,,0.2716393,1.3206506,0.17436758,0.32916054,0.34292287,0.02097755,6.4250107
United States,USA,1953,3.3148363,2.91432,0.96807927,2.429786,1.5565313,4.180711,3.6083374,1.0135475,15.0954075,52.445896,,0.2687242,1.3187124,0.15716214,0.29159015,0.34681106,0.02121854,6.262236
United States,USA,1954,3.382169,2.6508837,0.9995335,2.3876994,1.6283267,4.2864347,2.9295971,0.9835317,15.844334,52.732613,,0.26142892,1.3558248,0.14212497,0.27986127,0.34393564,0.02261846,6.078762
United States,USA,1955,3.389378,2.3555048,1.0682161,2.3253486,1.5834848,4.18933,3.0719879,0.95799285,15.743987,53.34748,,0.26237687,1.3411247,0.12435264,0.25845203,0.33806127,0.02132507,6.112511
United States,USA,1956,3.3893137,2.2068732,1.1615391,2.328767,1.5595638,4.125726,3.1634874,0.93596834,15.810853,53.618465,,0.25695503,1.3464572,0.10879042,0.24992394,0.31237295,0.02639862,6.0582585
United States,USA,1957,3.3929367,2.0769346,1.2759563,2.3409066,1.4883708,4.0761657,3.897184,0.9285861,15.502949,53.687954,,0.256073,1.3359638,0.1069114,0.23127396,0.31032473,0.02957515,5.835856
United States,USA,1958,3.3880985,2.011365,1.3301891,2.2439053,1.5996252,4.1847553,3.650738,0.9838666,15.439539,54.220318,,0.27817458,1.299301,0.0959411,0.29225323,0.3010524,0.03355815,5.4981956
United States,USA,1959,3.4125738,1.9331682,1.3571831,2.3263323,1.6185884,4.1002793,3.47287,0.98779947,15.695606,54.22069,,0.30033547,1.3145713,0.09584661,0.29864547,0.29870582,0.0381455,5.557655
United States,USA,1960,3.4381204,1.8249024,1.4767679,2.4052823,1.608837,3.9190834,4.0460706,0.96262693,15.632583,53.95121,,0.29398674,1.2768825,0.09223228,0.30064568,0.28580907,0.03691628,5.47938
United States,USA,1961,3.5152059,1.7477294,1.5019494,2.3996751,1.6229,3.8600147,3.3689837,0.94574153,16.073961,54.340878,,0.3016711,1.288376,0.09244664,0.29767466,0.2792206,0.03602657,5.421558
United States,USA,1962,3.5579944,1.6999294,1.6063459,2.3964548,1.6647502,3.6548226,3.540234,0.93486726,15.856938,54.5014,,0.298397,1.2063391,0.08339405,0.28604445,0.2664625,0.03244683,5.5295663
United States,USA,1963,3.521162,1.6471019,1.7926729,2.4090333,1.6585711,3.4566476,4.02658,0.9140641,15.735003,54.230904,,0.2972073,1.1478598,0.08083597,0.27862495,0.27046415,0.02773567,5.550939
United States,USA,1964,3.5161963,1.594838,1.815855,2.4328008,1.6925548,3.3548548,3.4191465,0.9260027,16.10505,54.12427,,0.30271667,1.1283329,0.07469199,0.28263938,0.27418578,0.02675119,5.775309
United States,USA,1965,3.5220027,1.5118679,1.9756188,2.440464,1.7640373,3.0302997,3.494379,0.94117725,16.27822,54.164024,,0.303752,1.0673167,0.06503892,0.27798808,0.27667525,0.02631095,5.9078755
United States,USA,1966,3.5707827,1.4364927,2.058236,2.4660401,1.7691016,2.7718663,3.5122259,0.97447926,16.302292,54.25288,,0.31092522,0.97458655,0.05630253,0.27131486,0.26423007,0.02619222,6.095218
United States,USA,1967,3.6263256,1.3682648,2.121888,2.4979973,1.880493,2.6097014,3.1636834,0.98156834,16.797878,54.12945,,0.3074558,0.9359793,0.05331323,0.2671603,0.27077934,0.02441497,6.1128716
United States,USA,1968,3.8168325,1.009439,2.4730556,2.3483458,1.8722003,2.2714062,3.9333043,1.0921297,16.504324,53.89885,0.21957617,0.2560513,0.87006664,0.04450588,0.31278464,0.25636217,0.09419289,5.9512496
United States,USA,1969,3.8440888,0.9630643,2.4029782,2.3731654,1.9730592,2.2461615,3.6662002,1.1274773,16.810286,53.557148,0.26358098,0.25536034,0.8849161,0.04167556,0.30447608,0.24334154,0.09760717,6.0554423
